author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Альбина Галсанимаева;realtor;https://ulan-ude.cian.ru/sale/flat/298798850/;Улан-Удэ;sale;flat;11;18;2;44.0;8100000;Октябрьский; Жердева;42Бк2;;Green Park
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298190482/;Улан-Удэ;sale;flat;4;5;2;42.0;4280000;Октябрьский; Тулаева;134;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298768896/;Улан-Удэ;sale;flat;4;12;1;28.0;3800000;Октябрьский; Конечная;10к2;;
Альбина Галсанимаева;realtor;https://ulan-ude.cian.ru/sale/flat/295783248/;Улан-Удэ;sale;flat;1;5;2;49.0;5350000;Октябрьский;Краснофлотская ;34;;
Альбина Галсанимаева;realtor;https://ulan-ude.cian.ru/sale/flat/300167307/;Улан-Удэ;sale;flat;4;5;1;36.0;4800000;Октябрьский;Краснофлотская ;20;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298768992/;Улан-Удэ;sale;flat;7;12;1;33.4;4800000;Октябрьский; Конечная;10к2;;
Альбина Галсанимаева;realtor;https://ulan-ude.cian.ru/sale/flat/297386461/;Улан-Удэ;sale;flat;5;5;2;44.4;4800000;Советский;Кабанская ;18;;
ID 115933019;homeowner;https://ulan-ude.cian.ru/sale/flat/301379643/;Улан-Удэ;sale;flat;3;3;1;32.6;4600000;Октябрьский; Имени Д.Ц. Дашиева;4;;
Альбина Галсанимаева;realtor;https://ulan-ude.cian.ru/sale/flat/301115053/;Улан-Удэ;sale;flat;2;2;1;29.0;1100000;Советский;Баргузинская ;19-3;;
ID 101382178;homeowner;https://ulan-ude.cian.ru/sale/flat/301264302/;Улан-Удэ;sale;flat;4;5;2;45.0;5900000;Железнодорожный; Нестерова;2;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/299622837/;Улан-Удэ;sale;flat;3;5;2;56.0;5350000;Советский; Смолина;38;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/300040729/;Улан-Удэ;sale;flat;4;5;1;31.1;4200000;Октябрьский; Бабушкина;24;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/301292237/;Улан-Удэ;sale;flat;2;5;2;42.0;6100000;Железнодорожный;Комсомольская ;12;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/291358420/;Улан-Удэ;sale;flat;5;5;2;45.0;4990000;Октябрьский; Бабушкина;27;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298768814/;Улан-Удэ;sale;flat;1;9;2;58.1;8000000;Октябрьский; Конечная;10к2;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298130726/;Улан-Удэ;sale;flat;2;2;2;34.2;1650000;Железнодорожный; Иванова;7;;
Елена Афанасьева;realtor;https://ulan-ude.cian.ru/sale/flat/301077175/;Улан-Удэ;sale;flat;3;5;2;45.4;5000000;Октябрьский;бульвар Карла Маркса;2;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298586255/;Улан-Удэ;sale;flat;1;2;2;33.0;1400000;Октябрьский;Тобольская ;19;;
Неал-Недвижимость;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/298353842/;Улан-Удэ;sale;flat;1;2;2;62.0;5100000;Железнодорожный; Жуковского;18;;
